Company Name,Link,Region,Address,Street,Location,ZipCode,City
Room40,http://roomfourzero.com,Flanders,"Quai sur Meuse 19, 4000 Liège, Belgium",Quai sur Meuse 19,4000 Liège,4000,Liège
Sagacify,http://www.sagacify.com,Brussels,"De Broquevillelaan 12, 1150 Brussels, Belgium",De Broquevillelaan 12,1150 Brussels,1150,Brussels
Savaco,http://www.savaco.com/,Flanders,"Beneluxpark 19, 8500 Kortrijk, Belgium",Beneluxpark 19,8500 Kortrijk,8500,Kortrijk
Seen apps,http://www.seen-apps.com,Wallonia,"Rue Marcel de Brogniez 27/1, 4690 Bassenge, Belgium",Rue Marcel de Brogniez 27/1,4690 Bassenge,4690,Bassenge
Sentiance,https://www.sentiance.com,Flanders,"Korte Lozanastraat 20, 2018 Antwerpen, Belgium",Korte Lozanastraat 20,2018 Antwerpen,2018,Antwerpen
Skalup,http://www.skalup.com,Wallonia,"Av. Reine Astrid 16, 5000 Namur, Belgium",Av. Reine Astrid 16,5000 Namur,5000,Namur
Sparkle,https://www.sparkle.tech/,Wallonia,"Rue de la Terre du Prince 17, 7000 Mons, Belgium",Rue de la Terre du Prince 17,7000 Mons,7000,Mons
Tapptic,http://www.tapptic.com,Brussels,"Terkamerenlaan 28/30, 1000 Brussel, Belgium",Terkamerenlaan 28/30,1000 Brussel,1000,Brussel
TDSGN,https://www.tdsgn.be/,Wallonia,"Ninoofsesteenweg 211, 1760 Roosdaal, Belgium",Ninoofsesteenweg 211,1760 Roosdaal,1760,Roosdaal
Tengu,https://www.tengu.io/,Flanders,"Dendermondsesteenweg 50, 9000 Gent, Belgium",Dendermondsesteenweg 50,9000 Gent,9000,Gent
Thelis,http://www.thelis.be,Wallonia,"Rue des Salamandres 2, 5100 Namur, Belgium",Rue des Salamandres 2,5100 Namur,5100,Namur
Trendskout,http://www.trendskout.com,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808,9000 Gent,9000,Gent
Tropos,http://www.tropos.io,Flanders,"Mechelsesteenweg 271, 2018 Antwerpen, Belgium",Mechelsesteenweg 271,2018 Antwerpen,2018,Antwerpen
Underside,http://www.underside.be,Wallonia,"Av. Georges Lemaître 5, 6041 Charleroi, Belgium",Av. Georges Lemaître 5,6041 Charleroi,6041,Charleroi
VECTR Consulting,https://Vectr.Consulting,Flanders,"De Villermontlaan 9, 2550 Kontich, Belgium",De Villermontlaan 9,2550 Kontich,2550,Kontich
VERHAERT,https://www.verhaert.com,Wallonia,"Hogenakkerhoekstraat 21, 9150 Kruibeke, Belgium",Hogenakkerhoekstraat 21,9150 Kruibeke,9150,Kruibeke
VersaSense,http://www.versasense.com,Flanders,"Kapeldreef 60, 3001 Leuven, Belgium",Kapeldreef 60,3001 Leuven,3001,Leuven
Waylay,http://www.waylay.io,Flanders,"Blekersdijk 33a, 9000 Gent, Belgium",Blekersdijk 33a,9000 Gent,9000,Gent
WEPOC,https://wepoc.be/,Wallonia,"Rue du Traité de Rome 6, 1348 Ottignies-Louvain-la-Neuve, Belgium",Rue du Traité de Rome 6,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
XC Lab,http://xclab.com/,Wallonia,"Quai Louva, 21, 4102 Seraing, Belgium, Belgium",Quai Louva,"21, 4102 Seraing, Belgium","21,","4102 Seraing, Belgium"
6Wolves,http://www.6wolves.ai,Brussels,"Moerstraat 40, 8000 Brugge, Belgium",Moerstraat 40,8000 Brugge,8000,Brugge
Artiq,http://www.artiq.eu,Flanders,"Professor Roger Van Overstraetenplein 5, 3000 Leuven, Belgium",Professor Roger Van Overstraetenplein 5,3000 Leuven,3000,Leuven
Aspect Analytics,http://www.aspect-analytics.com,Flanders,"C-Mine 12, 3600 Genk, Belgium",C-Mine 12,3600 Genk,3600,Genk
Asylia Diagnostics,https://www.asyliadx.com/,Flanders,"Turnhoutseweg 30, 2340 Beerse, Belgium",Turnhoutseweg 30,2340 Beerse,2340,Beerse
Aurelis,https://aurelis.org/,Flanders,"Oude Godstraat 200, 2650 Edegem, Belgium",Oude Godstraat 200,2650 Edegem,2650,Edegem
Avalasia,http://www.avalasia.com,Flanders,"Bruggestraat 112, 8930 Menen, Belgium",Bruggestraat 112,8930 Menen,8930,Menen
Axiles Bionics,http://www.axilesbionics.com,Brussels,"Raketstraat 64, 1130 Brussel, Belgium",Raketstraat 64,1130 Brussel,1130,Brussel
Axinesis,http://www.axinesis.com,Wallonia,"Av. Sabin 3, 1300 Wavre, Belgium",Av. Sabin 3,1300 Wavre,1300,Wavre
Bartanel,http://bartanel.com,Flanders,"Turnhoutsebaan 139, 2140 Antwerpen, Belgium",Turnhoutsebaan 139,2140 Antwerpen,2140,Antwerpen
Bingli,http://www.mybingli.com,Flanders,"Lange Gasthuisstraat 29/12, 2000 Antwerpen, Belgium",Lange Gasthuisstraat 29/12,2000 Antwerpen,2000,Antwerpen
BioClue,http://www.bioclue.eu,Flanders,"Fabriekstraat 7, 3930 Hamont, Belgium",Fabriekstraat 7,3930 Hamont,3930,Hamont
BioLizard,https://lizard.bio/,Flanders,"Martelaarslaan 408, 9000 Ghent, Belgium",Martelaarslaan 408,9000 Ghent,9000,Ghent
BioStrand,https://www.biostrand.be/,Flanders,"Agoralaan Abis, 3590 Diepenbeek, Belgium",Agoralaan Abis,3590 Diepenbeek,3590,Diepenbeek
BT Clinical Computing,http://www.btclinicalcomputing.com,Wallonia,"Avenue Paul Pastur 361 bte 6, 6032 Charleroi, Belgium",Avenue Paul Pastur 361 bte 6,6032 Charleroi,6032,Charleroi
CluePoints,http://cluepoints.com,Wallonia,"New Tech Center Av. Albert Einstein 2a, 1348 Ottignies-Louvain-la-Neuve, Belgium",New Tech Center Av. Albert Einstein 2a,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
Creative Therapy,https://www.mycreativetherapy.com/#pll_switcher,Flanders,"Derbystraat, 9051 Gent, Belgium",Derbystraat,9051 Gent,9051,Gent
DEO,https://deo.care/,Flanders,"Da Vincilaan 1, 1930 Zaventem, Belgium",Da Vincilaan 1,1930 Zaventem,1930,Zaventem
Digital Orthopaedics,http://www.digital-orthopaedics.com,Wallonia,"Rue Emile Francqui 1, 1435 Mont-Saint-Guibert, Belgium",Rue Emile Francqui 1,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert
DNAlytics,http://dnalytics.com,Wallonia,"Centre Monnet Av. Jean Monnet, 1348 Ottignies-Louvain-la-Neuve, Belgium",Centre Monnet Av. Jean Monnet,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
EarlyTracks,https://www.earlytracks.com/,Brussels,"Sint-Pieterssteenweg 260, 1040 Bruxelles, Belgium",Sint-Pieterssteenweg 260,1040 Bruxelles,1040,Bruxelles
Ectosense,https://www.ectosense.com/,Flanders,"De Hoorn Sluisstraat 79/00.01, 3000 Leuven, Belgium",De Hoorn Sluisstraat 79/00.01,3000 Leuven,3000,Leuven
emma.health,http://emma.health,Flanders,"Ottergemsesteenweg Zuid 808C/bus 12, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808C/bus 12,9000 Gent,9000,Gent
Enpy,http://www.enpy.com,Brussels,"Louizalaan 65/11, 1050 Elsene, Belgium",Louizalaan 65/11,1050 Elsene,1050,Elsene
Epcon,http://www.epcon.ai,Flanders,"Sint-Pietersvliet 7, 2000 Antwerpen, Belgium",Sint-Pietersvliet 7,2000 Antwerpen,2000,Antwerpen
Epihunter,https://www.epihunter.com/,Flanders,"Corda Campus Kempische Steenweg 303/200, 3500 Hasselt, Belgium",Corda Campus Kempische Steenweg 303/200,3500 Hasselt,3500,Hasselt
Epilog,http://www.epilog.care,Flanders,"Vlasgaardstraat 52, 9000 Gent, Belgium",Vlasgaardstraat 52,9000 Gent,9000,Gent
FluidDA,https://www.fluidda.com/,Flanders,"Groeningenlei 132, 2550 Kontich, Belgium",Groeningenlei 132,2550 Kontich,2550,Kontich
Gabi Smartcare,https://gabismartcare.com/,Wallonia,"Rue Emile Francqui 6 2nd Floor, 1435 Mont-Saint-Guibert, Belgium",Rue Emile Francqui 6 2nd Floor,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert
Genae,https://www.genae.com/,Flanders,"Justitiestraat 6, 2018 Antwerpen, Belgium",Justitiestraat 6,2018 Antwerpen,2018,Antwerpen
HeartKinetics,https://heartkinetics.com/fr/,Wallonia,"Drève Richelle 161/57/Building M, 1410 Waterloo, Belgium",Drève Richelle 161/57/Building M,1410 Waterloo,1410,Waterloo
Hippocreates,http://www.hippocreates.be/,Flanders,"Ter Heidelaan 95A, 3200 Aarschot, Belgium",Ter Heidelaan 95A,3200 Aarschot,3200,Aarschot
IBA,https://iba-worldwide.com/,Wallonia,"Chem. du Cyclotron 3, 1348 Ottignies-Louvain-la-Neuve, Belgium",Chem. du Cyclotron 3,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
icoMetrix,http://www.icometrix.com,Flanders,"Kolonel Begaultlaan 1b, 3012 Leuven, Belgium",Kolonel Begaultlaan 1b,3012 Leuven,3012,Leuven
Innovation Sprint,https://innovationsprint.eu/,Brussels,"Clos Chapelle-aux-Champs 30 bte 1.30.30, 1200 Brussels, Belgium",Clos Chapelle-aux-Champs 30 bte 1.30.30,1200 Brussels,1200,Brussels
Lindacare,https://lindacare.com/,Flanders,"Grauwmeer 1/41, 3001 Leuven, Belgium",Grauwmeer 1/41,3001 Leuven,3001,Leuven
Lopos,https://www.lopos.be/,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808,9000 Gent,9000,Gent
Lynxcare,http://lynxcare.be,Flanders,"Tiensevest 132, 3000 Leuven, Belgium",Tiensevest 132,3000 Leuven,3000,Leuven
Medical Robots,http://www.medical-robots.be,Flanders,"De Rondom 18, 5612 AP Eindhoven, Nederland, Belgium",De Rondom 18,"5612 AP Eindhoven, Nederland",5612,"AP Eindhoven, Nederland"
Minze health,https://minzehealth.com/,Flanders,"Offerandestraat 1, 2060 Antwerpen, Belgium",Offerandestraat 1,2060 Antwerpen,2060,Antwerpen
Molecubes,http://molecubes.com,Flanders,"Ottergemsesteenweg Zuid 808 bus 325, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808 bus 325,9000 Gent,9000,Gent
Mona,https://mona.health/,Flanders,"Business Brewery N.V. Interleuvenlaan 62, 3001 Leuven, Belgium",Business Brewery N.V. Interleuvenlaan 62,3001 Leuven,3001,Leuven
Mynutia,http://www.mynutia.com,Flanders,"Celestijnenlaan 300, 3001 Leuven, Belgium",Celestijnenlaan 300,3001 Leuven,3001,Leuven
Nischala Tech.,https://www.nischalatech.com/,Flanders,"Wilrijk, 2610 Antwerp, Belgium",Wilrijk,2610 Antwerp,2610,Antwerp
OncoDNA,http://www.oncoshare.com,Wallonia,"Rue Louis Breguet 1, 6041 Gosselies, Belgium",Rue Louis Breguet 1,6041 Gosselies,6041,Gosselies
Oncoradiomics,http://www.oncoradiomics.com,Wallonia,"Clos Chanmurly 13, 4000 Liège, Belgium",Clos Chanmurly 13,4000 Liège,4000,Liège
Ontoforce,http://www.ontoforce.com,Flanders,"Moutstraat 108, 9000 Gent, Belgium",Moutstraat 108,9000 Gent,9000,Gent
Ovizio,https://ovizio.com/,Brussels,"Kersbeeklaan 306, 1180 Ukkel, Belgium",Kersbeeklaan 306,1180 Ukkel,1180,Ukkel
Partheas,https://partheas.com/,Flanders,"Sint Jorisstraat 17A, 9300 Aalst, Belgium",Sint Jorisstraat 17A,9300 Aalst,9300,Aalst
Phasya,https://www.phasya.com/en,Wallonia,"Rue du Bois Saint-Jean 29, 4102 Seraing, Belgium",Rue du Bois Saint-Jean 29,4102 Seraing,4102,Seraing
ProteoFormiX,https://www.proteoformix.com/,Flanders,"Janssen Pharmaceutica Campus Turnhoutseweg 30, 2340 Beerse, Belgium",Janssen Pharmaceutica Campus Turnhoutseweg 30,2340 Beerse,2340,Beerse
Qaelum,https://qaelum.com/,Flanders,"Gaston Geenslaan 9, 3001 Leuven, Belgium",Gaston Geenslaan 9,3001 Leuven,3001,Leuven
Qompium,https://www.fibricheck.com/,Flanders,"Corda Campus Kempische Steenweg 303/27, 3500 Hasselt, Belgium",Corda Campus Kempische Steenweg 303/27,3500 Hasselt,3500,Hasselt
QuantaCorp,http://www.QuantaCorp.io,Flanders,"Amelia Earhartlaan 17, 9051 Gent, Belgium",Amelia Earhartlaan 17,9051 Gent,9051,Gent
Relu,http://relu.eu,Flanders,"Kapeldreef 60, 3001 Leuven, Belgium",Kapeldreef 60,3001 Leuven,3001,Leuven
Rombit,http://rombit.com,Flanders,"Meir 30, 2000 Antwerpen, Belgium",Meir 30,2000 Antwerpen,2000,Antwerpen
Saana,https://saana.co/,Brussels,"Rue du Commerce 31, 1000 Bruxelles, Belgium",Rue du Commerce 31,1000 Bruxelles,1000,Bruxelles
Savics,http://www.savics.org,Brussels,"Gemeentelijk Godshuisstraat 6, 1170 Watermaal-Bosvoorde, Belgium",Gemeentelijk Godshuisstraat 6,1170 Watermaal-Bosvoorde,1170,Watermaal-Bosvoorde
Simpl,http://www.logiciel-crm.be/,Wallonia,"48 rue des Martyrs, 4800 Verviers, Belgium",48 rue des Martyrs,4800 Verviers,4800,Verviers
Sneezz,https://sneezz.be/,Flanders,"Kroonstraat 31, 3840 Limburg, Belgium",Kroonstraat 31,3840 Limburg,3840,Limburg
Spectricity,http://spectricity.com,Flanders,"Stationsstraat 55, 2800 Mechelen, Belgium",Stationsstraat 55,2800 Mechelen,2800,Mechelen
Spentys,http:// https://www.spentys.com/,Brussels,"Sint-Denijsstraat 120, 1190 Vorst, Belgium",Sint-Denijsstraat 120,1190 Vorst,1190,Vorst
Strong Supplies,http://strong.supplies,Flanders,"Waalkens 11C, 9000 Gent, Belgium",Waalkens 11C,9000 Gent,9000,Gent
Sunrise,http://www.sunrise-sleep.com,Wallonia,"Chau. de Marche 598/02, 5101 Namur, Belgium",Chau. de Marche 598/02,5101 Namur,5101,Namur
TELEMIS,http://www.telemis.com,Wallonia,"Av. Athéna 2, 1348 Ottignies-Louvain-la-Neuve, Belgium",Av. Athéna 2,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
The Medical Cloud Company,http://www.medicalcloudcompany.com,Wallonia,"Clos Chanmurly 13, 4000 Liège, Belgium",Clos Chanmurly 13,4000 Liège,4000,Liège
Vitamin.ai,https://vitamin-ai.com,Flanders,"Frans De Cortlaan 3 bus 1, 2610 Antwerp, Belgium",Frans De Cortlaan 3 bus 1,2610 Antwerp,2610,Antwerp
Xperthis,http://www.xperthis.be,Brussels,"Boulevard Bischoffsheim 15, 1000 Bruxelles, Belgium",Boulevard Bischoffsheim 15,1000 Bruxelles,1000,Bruxelles
Yoboo,https://www.yoboo.health/nl/home,Flanders,"Quellinstraat 12/6, 2800 Antwerpen, Belgium",Quellinstraat 12/6,2800 Antwerpen,2800,Antwerpen
Alberts,http://alberts.be,Flanders,"Bijkhoevelaan 32c, 2110 Wijnegem, Belgium",Bijkhoevelaan 32c,2110 Wijnegem,2110,Wijnegem
Amigrow,https://amigrowfarming.com/,Flanders,"Penrhyn-coch, Aberystwyth SY23 3EE, Verenigd Koninkrijk, Belgium",Penrhyn-coch,"Aberystwyth SY23 3EE, Verenigd Koninkrijk",Aberystwyth,"SY23 3EE, Verenigd Koninkrijk"
Ampacimon,http://www.ampacimon.com/,Wallonia,"Rue de Wallonie 11, 4460 Grâce-Hollogne, Belgium",Rue de Wallonie 11,4460 Grâce-Hollogne,4460,Grâce-Hollogne
Ask Attis,http://www.askattis.com,Flanders,"Beersebaan 76, 2310 Rijkevorsel, Belgium",Beersebaan 76,2310 Rijkevorsel,2310,Rijkevorsel
Blacklight Analytics,https://www.blacklight-analytics.com/,Wallonia,"Rue du Bois Saint-Jean, 4102 Seraing, Belgium",Rue du Bois Saint-Jean,4102 Seraing,4102,Seraing
Building IQ,https://www.b-iq.be/nl,Flanders,"Oostlaan 5, 8560 Gullegem, Belgium",Oostlaan 5,8560 Gullegem,8560,Gullegem
BUILDWIND,http://www.buildwind.net,Brussels,"Barastraat 175, 1070 Bruxelles, Belgium",Barastraat 175,1070 Bruxelles,1070,Bruxelles
byNubian,https://www.bynubian.com/fr/,Flanders,"Coupure Rechts 64D, 9000 Gent, Belgium",Coupure Rechts 64D,9000 Gent,9000,Gent
Dapesco,https://www.dapesco.com/fr/,Wallonia,"Rue Granbonpré 4, 1348 Ottignies-Louvain-la-Neuve, Belgium",Rue Granbonpré 4,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
Enervalis,http://www.enervalis.com,Flanders,"Lummense Kiezel 51, 3510 Hasselt, Belgium",Lummense Kiezel 51,3510 Hasselt,3510,Hasselt
Ethernetics,http://ethernetics.tech,Flanders,"Antwerpse Steenweg 19, 9080 Lochristi, Belgium",Antwerpse Steenweg 19,9080 Lochristi,9080,Lochristi
Foodpairing,https://www.foodpairing.com/fr/home,Flanders,"Ottergemsesteenweg Zuid 808, 9000 Gent, Belgium",Ottergemsesteenweg Zuid 808,9000 Gent,9000,Gent
Hyler,http://www.hyler.be/,Flanders,"Vijvedreef 54, 8710 Wielsbeke, Belgium",Vijvedreef 54,8710 Wielsbeke,8710,Wielsbeke
IPBuilding,https://www.ipbuilding.be/,Flanders,"Ninovesteenweg 196, 9320 Aalst, Belgium",Ninovesteenweg 196,9320 Aalst,9320,Aalst
